Condition,Policy,Route,Selection_Count,Selection_Percentage
TTL3000__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,272,27.2
TTL3000__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,50,5.0
TTL3000__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,482,48.2
TTL3000__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay0_Mars,13,1.3
TTL3000__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay1_Mars,21,2.1
TTL3000__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,484,48.4
TTL750__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
TTL750__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
TTL750__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
TTL750__Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
TTL750__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
TTL750__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
TTL750__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
TTL750__Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
TTL750__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,341,34.1
TTL750__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay0_Mars,324,32.4
TTL750__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay1_Mars,285,28.5
TTL750__Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay2_Mars,50,5.0
TTL750__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,367,36.7
TTL750__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay0_Mars,20,2.0
TTL750__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay1_Mars,29,2.9
TTL750__Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,584,58.4
TTL750__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1000,100.0
TTL750__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,0,0.0
TTL750__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.0
TTL750__Direct_Pointing_25pct_Power,B1_Shortest_Delay,Earth_Relay2_Mars,0,0.0
TTL750__Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,1000,100.0
TTL750__Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay0_Mars,0,0.0
TTL750__Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay1_Mars,0,0.0
TTL750__Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay2_Mars,0,0.0
TTL750__Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,443,44.3
TTL750__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay0_Mars,235,23.5
TTL750__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,272,27.2
TTL750__Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,50,5.0
TTL750__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,482,48.2
TTL750__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay0_Mars,13,1.3
TTL750__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay1_Mars,21,2.1
TTL750__Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,484,48.4
