Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Route_Name,Available,Hop_Count,Bottleneck_Photons_Per_Slot,Contact_Probability,Optical_Success_Lower,Physical_Success_Lower,PAT_s,Propagation_s,Policy_Score,Selected
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B2_Contact_Aware,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B2_Contact_Aware,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.67302721743809624,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B2_Contact_Aware,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.67302721743809624,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,1,0.8203823605113022,60,552.90161580064557,0.8203823605113022,1
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B3_Physical_Success,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B3_Physical_Success,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.67302721743809624,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B3_Physical_Success,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.67302721743809624,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,1,0.8203823605113022,60,552.90161580064557,0.8203823605113022,1
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B4_Physical_Multiobjective,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B4_Physical_Multiobjective,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.27708367121041444,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,1,1000000,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.33292392982977026,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,1,0.8203823605113022,60,552.90161580064557,1,1
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B1_Shortest_Delay,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B1_Shortest_Delay,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.82339514370650269,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B1_Shortest_Delay,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.98933273782613984,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,1,0.8203823605113022,60,552.90161580064557,0.8203823605113022,1
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B2_Contact_Aware,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B2_Contact_Aware,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.67302721743809624,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B2_Contact_Aware,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.67302721743809624,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,1,0.8203823605113022,60,552.90161580064557,0.8203823605113022,1
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B3_Physical_Success,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B3_Physical_Success,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.67302721743809624,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B3_Physical_Success,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.67302721743809624,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,1,0.8203823605113022,60,552.90161580064557,0.8203823605113022,1
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B4_Physical_Multiobjective,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B4_Physical_Multiobjective,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.27708367121041444,0
PointingFactor0.500000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.5,1,1000000,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.33292392982977026,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B1_Shortest_Delay,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,0.99999999466578993,0.82038235613521038,60,552.90161580064557,1,1
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B1_Shortest_Delay,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B1_Shortest_Delay,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.82339514370650269,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B1_Shortest_Delay,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.98933273782613984,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B2_Contact_Aware,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,0.99999999466578993,0.82038235613521038,60,552.90161580064557,0.8203823605113022,1
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B2_Contact_Aware,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B2_Contact_Aware,Earth_Relay1_Mars,1,2,304.42775422824872,0.67302721743809624,1,0.67302721743809624,120,671.49001305954516,0.67302721743809624,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B2_Contact_Aware,Earth_Relay2_Mars,1,2,190.99351642284884,0.67302721743809624,1,0.67302721743809624,120,558.86315560074956,0.67302721743809624,0
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B3_Physical_Success,Direct_Earth_to_Mars,1,1,192.81205593293359,0.8203823605113022,0.99999999466578993,0.82038235613521038,60,552.90161580064557,0.82038235613521038,1
PointingFactor0.250000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.25,1,1000000,B3_Physical_Success,Earth_Relay0_Mars,0,2,126.65181536925267,0.67302721743809624,1,0.67302721743809624,120,912.79909247540309,-1,0
